"Id","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"ssd_001","ABOMANGOLI","NADEGE","F",1975-09-15,"BRAZZAVILLE",NA,"Congo",NA,NA,"Français","Fonction publique","WIKIPEDIA",NA
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"AULNAY SOUS BOIS","SEINE SAINT DENIS","France",2011-09-11,"AULNAY SOUS BOIS","Français","SNCF/RATP","WIKIPEDIA",NA
"ssd_003","ANATO","PATRICE","M",1976-03-14,"LOME",NA,"Togo",NA,NA,"Français",NA,"WIKIPEDIA",NA
"ssd_004","ARCHIMBAUD","ALINE","F",1948-11-02,"BELFORT","BELFORT","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"ssd_005","ASENSI","FRANCOIS","M",1945-06-01,"SANTANDER",NA,"Espagne",NA,NA,"Français","Ingenieur-e","WIKIPEDIA",NA
"ssd_006","ASSASSI","ELIANE","F",1958-10-02,"PARIS","PARIS","France",NA,NA,"Français","Communication","WIKIPEDIA",NA
"ssd_007","AUTAIN","CLEMENTINE","F",1973-05-26,"SAINT CLOUD","HAUTS DE SEINE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"ssd_008","BACHELOT","FRANCOIS","M",1940-04-19,"MANS","SARTHE","France",2019-06-14,"SAINT CLOUD","Français","Medecin","WIKIPEDIA",NA
"ssd_009","BALLANGER","ROBERT","M",1912-11-02,"NANTES","LOIRE ATLANTIQUE","France",1981-01-26,"SEVRAN","Français","Ouvrier-e","WIKIPEDIA","Résistance"
"ssd_010","BEAUDET","PASCAL","M",1956-10-09,"LISIEUX","CALVADOS","France",2022-03-17,"AUBERVILLIERS","Français","Enseignant-e","WIKIPEDIA",NA
"ssd_011","BERNARD","PIERRE","M",1934-01-30,"STRASBOURG","ALSACE","France",NA,NA,"Français","Militaire","WIKIPEDIA",NA
"ssd_012","BERTHELOT","MARCELIN","M",1927-10-09,"THORAILLES","LOIRET","France",1997-09-25,"PARIS","Français","Ouvrier-e","WIKIPEDIA",NA
"ssd_014","BESSAC","PATRICE","M",1978-06-17,"AGEN","LOT ET GARONNE","France",NA,NA,"Français","Entourage politique","WIKIPEDIA",NA
"ssd_015","BESSERER","JEAN","M",NA,NA,NA,NA,NA,NA,"Français",NA,NA,NA
