"Id","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"bdr_022","BERTRAND","ANNE MARIE","F",1942-11-27,"GRAVESON","BOUCHES DU RHONE","France",NA,NA,"Français","Agri. exploitation","WIKIPEDIA",NA
"bdr_023","BILLOUX","FRANCOIS","M",1903-05-21,"ROMAIN LA MOTTE","LOIRE","France",1978-01-14,"MENTON","Français","Employe-e","WIKIPEDIA",NA
"bdr_024","BLUM","ROLAND","M",1945-07-12,"PENNES MIRABEAU","BOUCHES DU RHONE","France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_025","BOMPARD","MANUEL","M",1986-03-30,"FIRMINY","LOIRE","France",NA,NA,"Français","Ingenieur-e","WIKIPEDIA",NA
"bdr_026","BONIFAY","CHARLES","M",1919-07-19,"MARSEILLE","BOUCHES DU RHONE","France",2017-01-28,"MARSEILLE","Français",NA,"WIKIPEDIA",NA
"bdr_028","BORE","PATRICK","M",1956-11-09,"TOULON","VAR","France",2021-07-05,"LA CIOTAT","Français","Sante","WIKIPEDIA",NA
"bdr_030","BOYER","VALERIE","F",1962-06-11,"BOURGES","CHER","France",NA,NA,"Français","Cadre","WIKIPEDIA",NA
"bdr_031","BRET","ROBERT","M",1949-04-10,NA,NA,NA,NA,NA,"Français","Ingenieur-e","WIKIPEDIA",NA
"bdr_032","BURRONI","VINCENT","M",1947-10-01,"CHATEAUNEUF LES MARTIGUES","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_033","CAMOIN","JEAN PIERRE","M",1942-05-09,NA,NA,NA,NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_034","CARCASSONNE","ROGER","M",1903-06-15,"SALON DE PROVENCE","BOUCHES DU RHONE","France",1992-11-28,"SALON DE PROVENCE","Français","Avocat-e","WIKIPEDIA",NA
"bdr_035","CARLOTTI","MARIE ARLETTE","F",1952-01-21,"BEZIERS","HERAULT","France",NA,NA,"Français","Cadre","WIKIPEDIA",NA
"bdr_036","CERMOLACCE","PAUL","M",1912-07-02,"MARSEILLE","BOUCHES DU RHONE","France",1988-05-15,"MARSEILLE","Français","Marin","WIKIPEDIA",NA
"bdr_038","CHARROUX","GABY","M",1942-06-25,"ALGER",NA,"Algérie",NA,NA,"Français","Enseignant-e","WIKIPEDIA",NA
"bdr_039","CHASSAIN","ROLAND","M",1947-02-05,"AURILLAC","CANTAL","France",2021-02-09,"SAINTES MARIES DE LA MER","Français","Chef-fe entreprise","WIKIPEDIA",NA
"bdr_041","CICCOLINI","FELIX","M",1916-10-02,"COZZANO","CORSE","France",2010-05-01,"AJACCIO","Français","Avocat-e","WIKIPEDIA",NA
"bdr_042","CIOT","JEAN DAVID","M",1967-05-01,"ROSENDAEL","NORD","France",NA,NA,"Français","Finance","WIKIPEDIA",NA
"bdr_043","COLONNA D ANFRIANI","CHARLES","M",1909-09-13,"CALVI","HAUTE CORSE","France",1980-03-26,"CANNES","Français","Avocat-e","WIKIPEDIA","Resistance"
"bdr_044","COMITI","JOSEPH","M",1920-06-04,"SOTTA","CORSE DU SUD","France",2000-11-10,"BASTIA","Français","Medecin","WIKIPEDIA",NA
"bdr_045","D ATTILIO","HENRI","M",1927-02-04,"CHATEAUNEUF LES MARTIGUES","BOUCHES DU RHONE","France",2008-11-12,"MARSEILLE","Français","Cadre","WIKIPEDIA",NA
"bdr_046","DARRASON","OLIVIER","M",1954-07-12,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Fonction publique","WIKIPEDIA",NA
"bdr_048","DAVID","LEON","M",1901-06-19,"ROQUEVAIRE","BOUCHES DU RHONE","France",2000-08-26,"CARNOUX EN PROVENCE","Français","Artisanat","WIKIPEDIA","Resistance"
"bdr_049","DE CAROLIS","PATRICK","M",1953-11-19,"ARLES","BOUCHES DU RHONE","France",NA,NA,"Français","Journaliste","WIKIPEDIA",NA
"bdr_050","DE PERETTI DE LA ROCCA","JEAN PIERRE","M",1930-06-26,"LAUSANNE",NA,"Suisse",2001-10-08,"TOURS","Français",NA,"WIKIPEDIA",NA
"bdr_051","DEFFERRE","GASTON","M",1910-09-14,"MARSILLARGUES","HERAULT","France",1986-05-07,"MARSEILLE","Français","Avocat-e","WIKIPEDIA","Resistance"
"bdr_052","DEFLESSELLES","BERNARD","M",1953-10-16,"PARIS","PARIS","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_053","DELAGNES","VINCENT","M",1902-05-11,"MONTPELLIER","HERAULT","France",1976-04-05,"MARSEILLE","Français","Enseignant-e","WIKIPEDIA",NA
"bdr_054","DELEUIL","LAURENS","M",1918-11-08,"MARIGNANE","BOUCHES DU RHONE","France",2006-11-03,"MARIGNANE","Français","Sportif-ve","WIKIPEDIA",NA
"bdr_055","DELOGU","SEBASTIEN","M",1987-06-08,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Independant-e","WIKIPEDIA",NA
"bdr_056","DELPUECH","VINCENT","M",1888-04-05,"PORT DE BOUC","BOUCHES DU RHONE","France",1966-03-09,"MARSEILLE","Français","Journaliste","WIKIPEDIA",NA
"bdr_057","DEVESA","BRIGITTE","F",1960-03-03,"ORAN",NA,"Algérie",NA,NA,"Français","Universitaire ","WIKIPEDIA",NA
"bdr_058","DHARREVILLE","PIERRE","M",1975-06-15,"NANTERRE","HAUTS DE SEINE","France",NA,NA,"Français","Journaliste","WIKIPEDIA",NA
"bdr_059","DIARD","ERIC","M",1965-07-21,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_060","DOIZE","PIERRE","M",1907-11-06,"MARSEILLE","BOUCHES DU RHONE","France",1979-02-19,"NARBONNE","Français","Artisanat","WIKIPEDIA","Resistance"
"bdr_061","DOMENECH","GABRIEL","M",1920-09-04,"REYNES","PYRENEES ORIENTALES","France",1990-05-14,"MARSEILLE","Français","Journaliste","WIKIPEDIA",NA
"bdr_062","DUFOUR","JEAN","M",1949-04-05,"SAINT MARTIN VALMEROUX","CANTAL","France",2020-03-15,"AVIGNON","Français","Professeur-e","WIKIPEDIA",NA
"bdr_063","DUTOIT","FREDERIC","M",1956-05-26,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_064","ECOCHARD","JANINE","F",1938-09-14,"NICE","ALPES MARITIMES","France",NA,NA,"Français","Cadre","WIKIPEDIA",NA
"bdr_068","FERNANDEZ","PATRICIA","F",1972-01-01,NA,NA,"France",NA,NA,NA,"Enseignant-e","PRESSE",NA
"bdr_070","FRAISSINET","JEAN","M",1894-06-22,"MARSEILLE","BOUCHES DU RHONE","France",1981-05-21,"COGOLIN","Français","Logisticien-ne","WIKIPEDIA",NA
"bdr_071","FRANCOU","JEAN","M",1920-05-27,NA,NA,NA,2013-03-13,"SALON DE PROVENCE","Français","Finance","WIKIPEDIA","Resistance"
"bdr_074","GARCIN","EDMOND","M",1917-04-24,"AUBAGNE","BOUCHES DU RHONE","France",1999-10-13,"AUBAGNE","Français",NA,"WIKIPEDIA","Resistance"
"bdr_075","GARDEIL","ROBERT","M",1921-11-25,"LECTOURE","GERS","France",2015-11-02,"MIMET","Français",NA,"WIKIPEDIA",NA
"bdr_076","GAUDIN","JEAN CLAUDE","M",1939-10-08,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Enseignant-e","WIKIPEDIA",NA
"bdr_078","GHALI","SAMIA","F",1968-06-10,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Salarie-e","WIKIPEDIA",NA
"bdr_079","GILLES","BRUNO","M",1960-12-26,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Sante","WIKIPEDIA",NA
"bdr_080","GIRAUD","FRANCIS","M",1932-07-04,"MARSEILLE","BOUCHES DU RHONE","France",2010-10-23,"MARSEILLE","Français","Medecin","WIKIPEDIA",NA
"bdr_081","GONZALEZ","JOSE","M",1943-04-28,"ORAN",NA,"Algérie",NA,NA,"Français","Moniteur","WIKIPEDIA",NA
"bdr_082","GRAILLE","JEAN","M",1907-05-18,"ROQUEMAURE","GARD","France",1977-03-18,"MARSEILLE","Français","PTT","WIKIPEDIA","Resistance"
"bdr_083","GUERINI","JEAN NOEL","M",1951-01-01,"CALENZANA","CORSE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_047","DAVI","HENDRICK","M",1977-12-21,"ATHIS MOND","ESSONNE","France",NA,NA,"Français","Syndicaliste","WIKIPEDIA",NA
"bdr_086","HERMIER","GUY","M",1940-02-22,"CRETEIL","SEINE","France",2001-07-28,"MARSEILLE","Français","Enseignant-e","WIKIPEDIA",NA
"bdr_087","HOSTACHE","RENE","M",1925-07-27,"AIX EN PROVENCE","BOUCHES DU RHONE","France",2000-06-09,"AIX EN PROVENCE","Français","Avocat-e","WIKIPEDIA",NA
"bdr_088","JIBRAYEL","HENRI","M",1951-09-18,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","PTT","WIKIPEDIA",NA
"bdr_090","JOISSAINS","ALAIN","M",1942-06-30,NA,NA,"France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_091","JOISSAINS","SOPHIE","F",1969-10-25,"AIX EN PROVENCE","BOUCHES DU RHONE","France",NA,NA,"Français","Justice","WIKIPEDIA",NA
"bdr_089","JOISSAINS MASINI","MARYSE","F",1942-08-15,"TOULON","VAR","France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_092","JOUVE","MIREILLE","F",1960-12-30,"AIX EN PROVENCE","BOUCHES DU RHONE","France",NA,NA,"Français","Enseignant-e","WIKIPEDIA",NA
"bdr_093","KERT","CHRISTIAN","M",1946-07-25,"SALON DE PROVENCE","BOUCHES DU RHONE","France",NA,NA,"Français","Haut fonctionnaire","WIKIPEDIA",NA
"bdr_094","LAFOND","JEAN PIERRE","M",1940-02-17,NA,NA,NA,NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_095","LAMBERT","FRANCOIS MICHEL","M",1966-08-24,"LA HAVANE",NA,"Cuba",NA,NA,"Franco-cubain","Logisticien-ne","WIKIPEDIA",NA
"bdr_096","LAQHILA","MOHAMED","M",1959-08-03,"OULMES",NA,"Maroc",NA,NA,"Français","Finance","WIKIPEDIA",NA
"bdr_097","LAZZARINO","GEORGES","M",1921-02-19,"PORT DE BOUC","BOUCHES DU RHONE","France",2002-02-21,"PLAN DE CUQUES","Français","BTP","WIKIPEDIA","Resistance"
"bdr_098","LE DISSES","ERIC","M",1955-07-05,"CHERBOURG","MANCHE","France",NA,NA,"Français","Sportif-ve","WIKIPEDIA",NA
"bdr_103","LELOUIS","GISELE","F",1952-03-10,"PARIS","PARIS","France",NA,NA,"Français","Ingenieur-e","WIKIPEDIA",NA
"bdr_099","LE RUDULIER","STEPHANE","M",1973-12-09,"LILLE","NORD","France",NA,NA,"Français","Entourage politique","WIKIPEDIA",NA
"bdr_100","LECCIA","BASTIEN","M",1919-11-03,"PORTO VECCHIO","CORSE","France",2004-04-09,"MARSEILLE","Français","Finance","WIKIPEDIA",NA
"bdr_101","LECCIA","BERNARD","M",1933-11-01,"SANTA LUCIA DI TALLANO","CORSE DU SUD","France",2007-12-21,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_102","LEENHARDT","FRANCIS","M",1908-04-24,"MARSEILLE","BOUCHES DU RHONE","France",1983-11-03,"MARSEILLE","Français","Journaliste","WIKIPEDIA","Resistance"
"bdr_104","LEONETTI","JEAN JACQUES","M",1938-06-11,"CIAMANNACCE","CORSE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_107","LOMBARD","PAUL","M",1927-12-15,"LA CIOTAT","BOUCHES DU RHONE","France",2020-06-07,"MARTIGUES","Français",NA,"WIKIPEDIA",NA
"bdr_108","LOO","CHARLES EMILE","M",1922-03-04,"MARSEILLE","BOUCHES DU RHONE","France",2016-08-20,"MARSEILLE","Français","Chef-fe entreprise","WIKIPEDIA","Resistance"
"bdr_109","LOUIS","ALEXANDRA","F",1983-09-17,"GRENOBLE","ISERE","France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_110","LUCAS","PIERRE","M",1928-01-25,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_111","MAGGI","JEAN PIERRE","M",1944-07-27,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Independant-e","WIKIPEDIA",NA
"bdr_112","MALLIE","RICHARD","M",1948-10-25,"BESANCON","DOUBS","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_113","MARCHETTI","PASCAL","M",1905-09-04,"LYON","BOUCHES DU RHONE","France",1971-12-26,"MARSEILLE","Français",NA,"WIKIPEDIA","Resistance"
"bdr_114","MARQUAND GAIRARD","PIERRE","M",1902-02-11,"MARSEILLE","BOUCHES DU RHONE","France",1972-12-03,"MARSEILLE","Français","Commercial-e","WIKIPEDIA",NA
"bdr_121","MASSE","JEAN","M",1911-01-03,"MARSEILLE","BOUCHES DU RHONE","France",1987-08-10,"MARSEILLE","Français",NA,"WIKIPEDIA",NA
"bdr_122","MASSE","MARIUS","M",1941-04-15,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_120","MASSE","CHRISTOPHE","M",1963-11-16,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Professeur-e","WIKIPEDIA",NA
"bdr_123","MATALON","DANIEL","M",1914-08-13,"SALONIQUE",NA,"Grèce",1987-04-21,"MARSEILLE","Français",NA,"WIKIPEDIA",NA
"bdr_124","MATRAJA","PIERRE","M",1923-02-14,"AJACCIO","CORSE","France",1991-11-23,"SAUSSET LES PINS","Français",NA,"WIKIPEDIA",NA
"bdr_125","MATTEI","JEAN FRANCOIS","M",1943-01-14,"LYON","RHONE","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_127","MEI","ROGER","M",1935-05-03,"HYERES","VAR","France",NA,NA,"Français","Enseignant-e","WIKIPEDIA",NA
"bdr_128","MELENCHON","JEAN LUC","M",1951-09-19,"TANGER",NA,"Maroc",NA,NA,"Français","Professeur-e","WIKIPEDIA",NA
"bdr_129","MELIN","JOELLE","F",1950-03-26,"VERSAILLES","YVELINES","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_130","MELLAN","VICTOR","M",1923-08-26,"MARSEILLE","BOUCHES DU RHONE","France",2007-03-03,"PENNES MIRABEAU","Français","Entourage politique","MAITRON",NA
"bdr_131","MENNUCCI","PATRICK","M",1955-04-08,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Chef-fe entreprise","WIKIPEDIA",NA
"bdr_132","MICHEL","MONICA","F",1955-04-16,"VICTORIA",NA,"Seychelles",NA,NA,"Français","Commercial-e","WIKIPEDIA",NA
"bdr_133","MINETTI","LOUIS","M",1925-09-01,"LA CIOTAT","BOUCHES DU RHONE","France",NA,NA,"Français","Agri. exploitation","WIKIPEDIA","Resistance"
"bdr_135","MOURET","HENRI","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bdr_136","MUSELIER","RENAUD","M",1959-05-06,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_138","ODDE","AUGUSTE","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bdr_139","OLMETA","RENE","M",1934-06-10,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA","franc-maçon"
"bdr_140","PADOVANI","DENIS","M",1897-02-03,"BERRE L ETANG","BOUCHES DU RHONE","France",1974-04-19,"BERRE L ETANG","Français","Fonction publique","WIKIPEDIA",NA
"bdr_142","PASQUET","ISABELLE","F",1962-03-08,NA,NA,NA,NA,NA,"Français","SNCF/RATP","WIKIPEDIA",NA
"bdr_143","PAYPAN","BENOIT","M",1978-01-31,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Notaire","WIKIPEDIA",NA
"bdr_144","PERDOMO","RONALD","M",1941-05-31,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_145","PERRIMOND","LOUIS","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bdr_147","PERROT","JACQUES","M",1926-09-01,"BOURGES","CHER","France",NA,NA,"Français","Enseignant-e","WIKIPEDIA",NA
"bdr_148","PETEL","ANNE LAURENCE","F",1970-02-08,"SAINT RAPHAEL","VAR","France",NA,NA,"Français","Entourage politique","WIKIPEDIA",NA
"bdr_149","PEZET","MICHEL","M",1942-04-09,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_150","PHILIBERT","LOUIS","M",1912-07-12,"PERTUIS","VAUCLUSE","France",2000-06-21,"AIX EN PROVENCE","Français","BTP","WIKIPEDIA","Resistance"
"bdr_151","PICHERAL","JEAN FRANCOIS","M",1934-02-26,"NIMES","GARD","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_152","PITOLLAT","CLAIRE","F",1979-09-17,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Ingenieur-e","WIKIPEDIA",NA
"bdr_153","PORELLI","VINCENT","M",1935-02-08,"NICE","ALPES MARITIMES","France",NA,NA,"Français","Enseignant-e","WIKIPEDIA",NA
"bdr_154","PORTE","JEANINE","F",1933-11-14,"MARSEILLE","BOUCHES DU RHONE","France",2010-07-02,"MARSEILLE","Français","Artisanat","WIKIPEDIA",NA
"bdr_155","POSADO","PASCAL","M",1925-05-14,"MARSEILLE","BOUCHES DU RHONE","France",2016-11-11,"MARSEILLE","Français","Ouvrier-e","WIKIPEDIA",NA
"bdr_156","POVINELLI","ROLAND","M",1941-08-09,"MARSEILLE","BOUCHES DU RHONE","France",2020-05-11,"AUBAGNE","Français","Cadre","WIKIPEDIA",NA
"bdr_157","PRIVAT","CHARLES","M",1914-06-08,"SAINT MAURICE DE CAZEVIEILLE","GARD","France",1990-08-21,"NERS","Français","Enseignant-e","WIKIPEDIA",NA
"bdr_158","RACON BUZON","CATHY","F",1976-11-22,"DOMONT","VAL D OISE","France",NA,NA,"Français","Communication","WIKIPEDIA",NA
"bdr_159","RAIMOND","JEAN BERNARD","M",1926-02-06,"PARIS","PARIS","France",2016-03-07,"NEUILLY SUR SEINE","Français","Diplomate","WIKIPEDIA",NA
"bdr_160","RAPUZZI","IRMA","F",1910-04-12,"CADOLIVE","BOUCHES DU RHONE","France",2018-04-04,"MARSEILLE","Français","Enseignant-e","WIKIPEDIA","Resistance"
"bdr_161","RASTOIN","JACQUES","M",1900-02-19,"MARSEILLE","BOUCHES DU RHONE","France",1979-06-17,"GIGNAC LA NERTHE","Français","Industriel-le","WIKIPEDIA",NA
"bdr_163","RAVIER","STEPHANE","M",1969-08-04,"GAP","HAUTES ALPES","France",NA,NA,"Français","PTT","WIKIPEDIA",NA
"bdr_162","RAVIER","JULIEN","M",1978-02-16,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Justice","WIKIPEDIA",NA
"bdr_165","REYNES","BERNARD","M",1953-10-18,"MEKNES",NA,"Maroc",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_166","RIEUBON","RENE","M",1918-03-04,"LA GRAND COMBE","GARD","France",2011-01-13,"MIRAMAS","Français","BTP","WIKIPEDIA","Resistance"
"bdr_167","RIPERT","FRANCIS","M",1911-11-06,"LA CIOTAT","BOUCHES DU RHONE","France",1997-09-14,"LA CIOTAT","Français","Avocat-e","WIKIPEDIA",NA
"bdr_168","ROATTA","JEAN","M",1941-12-13,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_169","ROCCA SERRA","JACQUES","M",1943-01-20,NA,NA,NA,NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_170","ROMAND","GEORGES","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bdr_171","ROUSSEL","JEAN","M",1923-04-04,"MARSEILLE","BOUCHES DU RHONE","France",2015-09-05,"MARSEILLE","Français","Avocat-e","WIKIPEDIA","Resistance"
"bdr_172","ROYER PERREAUT","LIONEL","M",1972-11-13,"TOULON","VAR","France",NA,NA,"Français","Entourage politique","WIKIPEDIA",NA
"bdr_175","SANNA","ROSY","F",1940-01-01,NA,NA,"France",2022-04-01,NA,"Français","Enseignant-e","PRESSE",NA
"bdr_174","SANMARCO","PHILIPPE","M",1947-02-16,"EBOLOWA",NA,"Cameroun",NA,NA,"Français","Professeur-e","WIKIPEDIA",NA
"bdr_176","SANTONI","HYACINTHE","M",1939-01-01,"SARTENE","CORSE","France",NA,NA,"Français",NA,"WIKIPEDIA",NA
"bdr_177","SCHIAVETTI","HERVE","M",1956-07-06,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Fonction publique","WIKIPEDIA",NA
"bdr_178","SIFFRE","JACQUES","M",1937-04-04,"FOIX","ARIEGE","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_179","SIMONPIERI","DANIEL","M",NA,NA,NA,NA,NA,NA,"Français","Banquier-e","WIKIPEDIA",NA
"bdr_180","SLISSA","MONIQUE","F",1948-01-01,NA,NA,NA,NA,NA,"Français","Ingenieur-e","PRESSE",NA
"bdr_181","SUMEIRE","FERNAND","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bdr_182","TACHE","EMMANUEL","M",1975-02-20,"MONTREUIL","SEINE SAINT DENIS","France",NA,NA,"Français","Presse",NA,NA
"bdr_183","TAPIE","BERNARD","M",1943-01-26,"PARIS","PARIS","France",2021-10-03,"PARIS","Français","Chef-fe entreprise","WIKIPEDIA",NA
"bdr_184","TARDITO","JEAN","M",1933-12-19,"LA CIOTAT","BOUCHES DU RHONE","France",2019-01-31,"AUBAGNE","Français","Enseignant-e","WIKIPEDIA",NA
"bdr_185","TASSY","MARCEL","M",1932-12-27,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Presse","WIKIPEDIA",NA
"bdr_186","TEISSIER","GUY","M",1945-04-04,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Notaire","WIKIPEDIA",NA
"bdr_188","TIAN","DOMINIQUE","M",1959-12-14,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Chef-fe entreprise","WIKIPEDIA",NA
"bdr_189","TOESCHI","PAOLO","M",1955-01-01,NA,NA,NA,NA,NA,"Français","Fonction publique","WIKIPEDIA",NA
"bdr_190","TOGA","MAURICE","M",1927-03-22,"MARSEILLE","BOUCHES DU RHONE","France",1989-08-02,"MARSEILLE","Français","Dir. etablissement public","WIKIPEDIA",NA
"bdr_192","VACHET","LEON","M",1932-12-29,"CHATEAURENARD","BOUCHES DU RHONE","France",2010-11-11,"AVIGNON","Français",NA,"WIKIPEDIA",NA
"bdr_194","VALLET","ANDRE","M",1935-01-29,NA,NA,NA,NA,NA,"Français","Dir. etablissement public","WIKIPEDIA",NA
"bdr_195","VAUZELLE","MICHEL","M",1944-08-15,"MONTELIMAR","DROME","France",NA,NA,"Français","Avocat-e","WIKIPEDIA",NA
"bdr_196","VAXES","MICHEL","M",1940-11-14,"MARSEILLE","BOUCHES DU RHONE","France",2016-09-18,"PORT DE BOUC","Français","Independant-e","WIKIPEDIA",NA
"bdr_198","VIDAL","YVES","M",1946-11-27,"PERNES LES FONTAINES","VAUCLUSE","France",NA,NA,"Français","Cadre","WIKIPEDIA",NA
"bdr_199","VIGOUROUX","ROBERT","M",1923-03-21,"PARIS","PARIS","France",2017-07-08,"GARDANNE","Français","Medecin","WIKIPEDIA",NA
"bdr_201","ZULESI","JEAN MARC","M",1988-06-06,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Ingenieur-e","WIKIPEDIA",NA
"bdr_193","VALETTE","HONORE","M",NA,NA,NA,NA,NA,NA,NA,"Militaire","WIKIPEDIA",NA
"bdr_006","ANDRE","JEAN","M",NA,NA,NA,NA,NA,NA,NA,"SNCF/RATP","WIKIPEDIA",NA
"bdr_173","SAINT MICHEL","ANTONIN","M",NA,NA,NA,NA,NA,NA,NA,NA,"WIKIPEDIA",NA
"bdr_164","REYNAUD","JEAN","M",NA,NA,NA,NA,NA,NA,NA,NA,"WIKIPEDIA",NA
