"Id","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"bdr_001","AGRESTI ROUBACHE","SABRINA","F",1976-10-13,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Audiovisuel","WIKIPEDIA",NA
"bdr_002","AHAMADA","SAID","M",1972-11-07,"SAINT DENIS","LA REUNION","France",NA,NA,"Français","Fonction publique","WIKIPEDIA",NA
"bdr_004","ALLISIO","FRANCK","M",1980-08-04,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Entourage politique","WIKIPEDIA",NA
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"TARASCON","BOUCHES DU RHONE","France",2015-02-25,"TARASCON","Français","Haut fonctionnaire","WIKIPEDIA",NA
"bdr_005","AMIEL","MICHEL","M",1954-07-03,"CANNES","ALPES MARITIMES","France",NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_007","ANDREONI","SERGE","M",1940-03-15,NA,NA,NA,NA,NA,"Français","Medecin","WIKIPEDIA",NA
"bdr_008","ANDRIEUX","ANTOINE","M",1916-09-30,"BASTIA","CORSE","France",1983-05-10,"MARSEILLE","Français","Independant-e","WIKIPEDIA",NA
"bdr_009","ANDRIEUX","SYLVIE","F",1961-12-15,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français",NA,"WIKIPEDIA","franc-maçon"
"bdr_010","ARNAUD","HENRI","M",1915-05-22,"MARSEILLE","BOUCHES DU RHONE","France",2000-08-03,"MARSEILLE","Français",NA,"WIKIPEDIA",NA
"bdr_011","ARRIGHI","PASCAL","M",1921-06-16,"VICO","CORSE","France",2004-08-19,"TOULON","Français","Avocat-e","WIKIPEDIA","Resistance"
"bdr_012","ASSOULY","AVI","M",1950-06-05,"AIN EL ARBAA",NA,"Algérie",NA,NA,"Français","Journaliste","WIKIPEDIA",NA
"bdr_013","BACCHI","JEREMY","M",1986-03-08,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Assitant-e social ","WIKIPEDIA",NA
"bdr_015","BAUBRY","ROMAIN","M",1989-01-28,"MONT SAINT AIGNAN","SEINE MARITIME","France",NA,NA,"Français","Policier-e","WIKIPEDIA",NA
"bdr_016","BELSOSA","LAURENT","M",1970-01-12,NA,NA,"France",NA,NA,"Français","Fonction publique","PRESSE",NA
"bdr_017","BENARROCHE","GUY","M",1954-07-25,"ORAN",NA,"Algérie",NA,NA,"Français","Chef-fe entreprise","WIKIPEDIA",NA
"bdr_018","BENDER","ALFRED","M",NA,NA,NA,NA,NA,NA,NA,"Dir. etablissement public","WIKIPEDIA",NA
"bdr_019","BERGASSE","HENRY","M",1894-09-26,"MARSEILLE","BOUCHES DU RHONE","France",1977-03-28,"MARSEILLE","Français","Avocat-e","WIKIPEDIA","Resistance"
"bdr_021","BERNARDINI","FRANCOIS","M",1953-08-24,"MARSEILLE","BOUCHES DU RHONE","France",NA,NA,"Français","Presse","WIKIPEDIA",NA
