"Id","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"ain_001","ABAD","DAMIEN","M",1980-04-05,"NIMES","GARD","France",NA,NA,"FRANCAISE","Charge etudes","WIKIPEDIA",NA
"ain_002","ANDRE","RENE","M",NA,NA,NA,NA,NA,NA,NA,"Finance","LE MONDE",NA
"ain_003","ANTHONIOZ","MARCEL","M",1911-04-26,"DIVONNE LES BAINS","AIN","France",1976-08-31,"DIVONNE LES BAINS","FRANCAISE","Hotellerie","ARCHIVES","Resistance"
"ain_004","ARMAND","GERARD","M",1941-07-09,"LA MOTTE SERVOLEX","SAVOIE","France",2002-03-21,"AVIGNON","FRANCAISE","Medecin","ARCHIVES",NA
"ain_005","BARBEROT","PAUL","M",1915-10-26,"LYON","BOUCHES DU RHONE","France",1997-07-05,NA,"FRANCAISE","Independant-e","ARCHIVES",NA
"ain_006","BEAUFORT","JEAN","M",1928-02-04,"MEXIMIEUX","AIN","France",2017-01-01,NA,"FRANCAISE","Dir. etablissement prive","ARCHIVES WIKIPEDIA",NA
"ain_008","BERTHOU","JACQUES","M",1940-03-03,"LYON","BOUCHES DU RHONE","France",NA,NA,"FRANCAISE","Ingenieur-e","WIKIPEDIA",NA
"ain_010","BERTRAND","JEAN MICHEL","M",1943-06-06,"BACCARAT","MEURTHE ET MOSELLE","France",2008-02-19,"PARIS","FRANCAISE","Sante","WIKIPEDIA",NA
"ain_011","BILLANDON","CHARLES","M",1921-12-24,"SAINT DIDIER SUR BEAUJEU",NA,"France",2008-01-01,NA,"FRANCAISE","Huissier-e","ARCHIVES",NA
"ain_012","BILLIEMAZ","AUGUSTE","M",1903-08-29,"BREGNIER","AIN","France",1983-04-25,"BREGNIER","FRANCAISE","Chef-fe entreprise","WIKIPEDIA",NA
"ain_013","BLAISON","PIERRE","M",1903-06-28,NA,NA,NA,NA,NA,NA,"Ingenieur-e","ARCHIVES",NA
"ain_014","BLANC","ETIENNE","M",1954-08-29,"GIVORS","RHONE","France",NA,NA,"FRANCAISE","Avocat-e","WIKIPEDIA",NA
"ain_015","BLATRIX CONTAT","FLORENCE","F",1966-03-30,"BOURG EN BRESSE","AIN","France",NA,NA,"FRANCAISE","Professeur-e","WIKIPEDIA",NA
"ain_016","BOLLIET","GILLES","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ain_017","BOYON","JACQUES","M",1934-09-30,"NANTES","LOIRE ATLANTIQUE","France",2019-01-15,"COURBEVOIE","FRANCAISE","Conseil","ARCHIVES",NA
"ain_020","BUISSON","JEROME","M",1973-01-15,"ROANNE","LOIRE","France",NA,NA,"FRANCAISE","Professeur-e","WIKIPEDIA",NA
"ain_018","BRAYARD","JOSEPH","M",1901-03-31,"VESCOURS","AIN","France",1972-07-03,"REYSSOUZE","FRANCAISE",NA,"WIKIPEDIA",NA
"ain_019","BRETON ","XAVIER","M",1962-11-25,"DARNEY","VOSGES","France",NA,NA,"FRANCAISE","Finance","WIKIPEDIA",NA
"ain_021","BUY","ANTOINE","M",1907-08-22,NA,NA,NA,NA,NA,NA,"SNCF/RATP","ARCHIVES",NA
"ain_022","CADOZ","MARIUS","M",1914-12-30,"BOURG EN BRESSE","AIN","France",NA,NA,"FRANCAISE","Dir. etablissement prive","ARCHIVES",NA
"ain_023","CARRIER","MICHEL","M",1906-10-02,"OYONNAX","AIN","France",1981-01-05,"NANTUA","FRANCAISE","Agri. exploitation","ARCHIVES",NA
"ain_024","CHAIZE","PATRICK","M",1963-03-22,"SAINT SYMPHORIEN D OZON","RHONE","France",NA,"NANTUA","FRANCAISE","Entourage politique","WIKIPEDIA",NA
"ain_025","CHASTEL","PAUL","M",1905-01-28,NA,NA,NA,NA,NA,NA,"Notaire","ARCHIVES",NA
"ain_026","CHAVANNE","GUY","M",1935-04-21,"PIERRE BENITE","RHONE","France",NA,NA,NA,"Professeur-e","LE MAITRON",NA
